time_received,False,True
14793110562,5,3
14793110563,3,3
14793110564,4,3
14793110565,5,3
14793110566,4,2
14793110567,4,4
14793110568,5,2
14793110569,4,3
14793110570,5,3
14793110571,4,4
14793110572,5,3
14793110573,5,4
14793110574,5,3
14793110575,4,3
14793110576,4,3
14793110577,6,3
14793110578,5,3
14793110579,4,3
14793110580,4,3
14793110581,3,3
14793110582,5,4
14793110583,5,5
14793110584,5,3
14793110585,6,3
14793110586,7,3
14793110587,4,5
14793110588,5,6
14793110589,4,5
14793110590,4,5
14793110591,4,5
14793110592,3,5
14793110593,4,6
14793110594,3,6
14793110595,3,6
14793110596,4,6
14793110597,2,6
14793110598,3,6
14793110599,3,5
14793110600,3,6
